drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Pylarify,piflufolastat F 18,Injection,Pylarify (piflufolastat F 18) is a radioactive diagnostic agent indicated for positron emission tomography (PET) of prostate-specific membrane antigen (PSMA) positive lesions in men with prostate cancer.,2021-05-26,Progenics Pharmaceuticals,Positron Emission Tomography Imaging,Antineoplastics,Cancers,,,
Myfembree,"relugolix, estradiol and norethindrone acetate",Tablets,"Myfembree (relugolix, estradiol and norethindrone acetate) is an oral gonadotropin-releasing hormone (GnRH) receptor antagonist, estrogen, and progestin combination indicated in premenopausal women for the management of heavy menstrual bleeding associated with uterine fibroids, and moderate to severe pain associated with endometriosis.",2021-05-26,Myovant Sciences,"Uterine Fibroids, Endometriosis",Hormonal,Reproductive System Disorders,,,
Camcevi,leuprolide mesylate,Injection,"Camcevi (leuprolide mesylate) is a ready-to-use, 6-month depot formulation of the approved gonadotropin releasing hormone (GnRH) agonist leuprolide indicated for the treatment of adult patients with advanced prostate cancer.",2021-05-26,Foresee Pharmaceuticals,Prostate Cancer,Antineoplastics,Cancers,,,
Rybrevant,amivantamab-vmjw,Injection,Rybrevant (amivantamab-vmjw) is a bispecific EGF receptor-directed and MET receptor-directed antibody used for the treatment of non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations.,2021-05-21,The Janssen Pharmaceutical Companies Of Johnson & Johnson,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Empaveli,pegcetacoplan,Injection,Empaveli (pegcetacoplan) is a targeted C3 inhibitor for the treatment of paroxysmal nocturnal hemoglobinuria (PNH).,2021-05-14,Apellis Pharmaceuticals,Paroxysmal Nocturnal Hemoglobinuria,Immunological,Hematological Disorders,,,
Zynrelef,bupivacaine and meloxicam,Injection,"Zynrelef (bupivacaine and meloxicam) is an extended-release, fixed-dose combination of the local anesthetic bupivacaine and the nonsteroidal anti-inflammatory drug (NSAID) meloxicam indicated for the management of postoperative pain.",2021-05-12,Heron Therapeutics,Postoperative Pain,Analgesics,Musculoskeletal Disorders,,,
Kloxxado,naloxone hydrochloride,Nasal Spray,"Kloxxado (naloxone hydrochloride) nasal spray is an opioid antagonist indicated for the emergency treatment of known or suspected opioid overdose, as manifested by respiratory and/or central nervous system depression, for adult and pediatric patients.",2021-04-30,Hikma Pharmaceuticals,Opioid Overdose,Respiratory,Neurological Disorders,,,
Zynlonta,loncastuximab tesirine-lpyl,Injection,Zynlonta (loncastuximab tesirine-lpyl) is a CD19-directed antibody and alkylating agent conjugate indicated for the treatment of adult patients with relapsed or refractory large B-cell lymphoma.,2021-04-23,Adc Therapeutics,Diffuse Large B-cell Lymphoma,Antineoplastics,Hematological Disorders,,,
Jemperli,dostarlimab-gxly,Injection,"Jemperli (dostarlimab-gxly) is a programmed death receptor-1 (PD-1)–blocking antibody for the treatment of mismatch repair deficient (dMMR) or microsatellite instability-high (MSI-H) endometrial cancer, and dMMR solid tumors.",2021-04-22,Glaxosmithkline,"Endometrial Cancer, Solid Tumors",Antineoplastics,Cancers,,,
Nextstellis,drospirenone and estetrol,Tablets,Nextstellis (drospirenone and estetrol) is a progestin and estrogen combination indicated for use by females of reproductive potential to prevent pregnancy.,2021-04-15,Mayne,Birth Control,Hormonal,Reproductive System Disorders,,,
Qelbree,viloxazine hydrochloride,Extended Release Capsules,Qelbree (viloxazine hydrochloride) is a serotonin norepinephrine modulating agent (SNMA) for the treatment of attention deficit hyperactivity disorder (ADHD) in in adults and pediatric patients 6 years and older.,2021-04-02,Supernus Pharmaceuticals,Attention Deficit Hyperactivity Disorder (ADHD),Neurological,Neurological Disorders,,,
Roszet,ezetimibe and rosuvastatin,Tablets,Roszet (ezetimibe and rosuvastatin) is an intestinal cholesterol inhibitor and HMG Co-A reductase inhibitor (statin) combination indicated to reduce low-density lipoprotein cholesterol (LDL-C) in primary non-familial hyperlipidemia and homozygous familial hypercholesterolemia (HoFH).,2021-03-23,Althera Life Sciences,"High Cholesterol, High Cholesterol, Familial Homozygous",Cardiovascular,Cardiovascular Diseases,,,
Abecma,idecabtagene vicleucel,Suspension for Intravenous Infusion,"Abecma (idecabtagene vicleucel) is  a B-cell maturation antigen (BCMA)-directed genetically modified autologous T cell immunotherapy indicated for the treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody.",2021-03-26,Bristol Myers Squibb,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Zegalogue,dasiglucagon,Injection,Zegalogue (dasiglucagon) is a glucagon analog antihypoglycemic agent for the treatment of severe hypoglycemia in diabetes patients aged 6 years and older.,2021-03-22,Zealand,Hypoglycemia,Antidiabetics,Endocrine Disorders,,,
Ponvory,ponesimod,Tablets,"Ponvory (ponesimod) is a selective sphingosine-1-phosphate receptor 1 (S1P1) modulator indicated for the treatment of adults with relapsing forms of multiple sclerosis (MS), including clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease.",2021-03-18,Janssen Pharmaceuticals,Multiple Sclerosis,Neurological,Neurological Disorders,,,
Kimyrsa,oritavancin,Injection,"Kimyrsa (oritavancin) is a lipoglycopeptide antibiotic for the treatment of adult patients with acute bacterial skin and skin structure infections (ABSSI) caused by designated Gram-positive microorganisms, including methicillin-resistantStaphylococcus aureus(MRSA).",2021-03-12,Melinta Therapeutics,Skin and Structure Infection,Antibiotics,Dermatological Conditions,,,
Fotivda,tivozanib,Capsules,Fotivda (tivozanib) is a vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitor (TKI) indicated for the treatment of adult patients with relapsed or refractory advanced renal cell carcinoma (RCC) following two or more prior systemic therapies.,2021-03-10,Aveo Oncology,Renal Cell Carcinoma,Antineoplastics,Cancers,,,
Azstarys,dexmethylphenidate and serdexmethylphenidate,Capsules,Azstarys (dexmethylphenidate and serdexmethylphenidate) is a central nervous system (CNS) stimulant indicated for the treatment of Attention Deficit Hyperactivity Disorder (ADHD) in patients 6 years of age and older.,2021-03-02,Kempharm,Attention Deficit Hyperactivity Disorder (ADHD),Neurological,Neurological Disorders,,,
Nulibry,fosdenopterin,Injection,Nulibry (fosdenopterin) is a cyclic pyranopterin monophosphate (cPMP) substrate replacement therapy for the treatment of patients with molybdenum cofactor deficiency (MoCD) Type A.,2021-02-26,Bridgebio,Molybdenum Cofactor Deficiency (MoCD) Type A,Nutritional Supplements,Genetic Disorders,,,
Pepaxto,melphalan flufenamide,Injection,Pepaxto (melphalan flufenamide) is an anticancer peptide-drug conjugate indicated for use in combination with dexamethasone for the treatment of adult patients with relapsed or refractory multiple myeloma.,2021-02-26,Oncopeptides Ab,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Amondys 45,casimersen,Injection,Amondys 45 (casimersen) is an antisense oligonucleotide for the treatment of patients with Duchenne muscular dystrophy (DMD) who have genetic mutations that are amenable to skipping exon 45 of the Duchenne gene.,2021-02-25,Sarepta Therapeutics,Duchenne Muscular Dystrophy,Antineoplastics,Musculoskeletal Disorders,,,
Cosela,trilaciclib,Injection,Cosela (trilaciclib) is a cyclin-dependent kinase 4/6 (CDK4/6) inhibitor myelopreservation therapy for use in patients with small cell lung cancer (SCLC) who are receiving chemotherapy.,2021-02-12,G1 Therapeutics,Small Cell Lung Cancer Myelopreservation Therapy,Antineoplastics,Cancers,,,
Evkeeza,evinacumab-dgnb,Injection,"Evkeeza (evinacumab-dgnb) is an angiopoietin-like 3 (ANGPTL3) inhibitor indicated as an adjunct to other low-density lipoprotein-cholesterol (LDL-C) lowering therapies for the treatment of adult and pediatric patients, aged 5 years and older, with homozygous familial hypercholesterolemia (HoFH).",2021-02-11,Regeneron Pharmaceuticals,"High Cholesterol, Familial Homozygous",Cardiovascular,Cardiovascular Diseases,,,
Breyanzi,lisocabtagene maraleucel,Suspension for Intravenous Infusion,Breyanzi (lisocabtagene maraleucel) is a CD-19 directed chimeric antigen receptor (CAR) T cell therapy for the treatment of adult patients with relapsed or refractory large B-cell lymphoma (LBCL) and chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,2021-02-05,Bristol-Myers Squibb Company,"Diffuse Large B-Cell Lymphoma, B-Cell Lymphoma, Chronic Lymphocytic Leukemia",Antineoplastics,Hematological Disorders,,,
Ukoniq,umbralisib,Tablets,Ukoniq (umbralisib) is a dual inhibitor of phosphoinositide 3 kinase (PI3K) delta and casein kinase 1 (CK1) epsilon for the treatment of marginal zone lymphoma (MZL) and follicular Lymphoma (FL).,2021-02-05,Tg Therapeutics,"Marginal Zone Lymphoma, Follicular Lymphoma",Antineoplastics,Hematological Disorders,,,
Tepmetko,tepotinib,Tablets,Tepmetko (tepotinib) is an oral MET inhibitor for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) harboring mesenchymal-epithelial transition (MET) exon 14 skipping alterations.,2021-02-03,Emd Serono,Non-Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Posimir,bupivacaine,Solution for Infiltration Use,Posimir (bupivacaine) is a sustained-release anamide local anesthetic formulation indicated for post-surgical pain reduction following arthroscopic subacromial decompression shoulder surgery.,2021-02-01,Durect,Post-Surgical Pain,Anesthetics,Musculoskeletal Disorders,,,
Lupkynis,voclosporin,Capsules,Lupkynis (voclosporin) is a calcineurin-inhibitor immunosuppressant indicated in combination with a background immunosuppressive therapy regimen for the treatment of adult patients with active lupus nephritis (LN).,2021-01-22,Aurinia Pharmaceuticals,Lupus Nephritis,Immunological,Renal Disorders,,,
Cabenuva,cabotegravir and rilpivirine,Extended-Release Injectable Suspension ( Co-Packaged),"Cabenuva (cabotegravir and rilpivirine) is a long-acting, injectable regimen of the HIV-1 integrase strand transfer inhibitor (INSTI) cabotegravir, and the HIV-1 non-nucleoside reverse transcriptase inhibitor (NNRTI) rilpivirine indicated as a complete regimen for the treatment of HIV-1 infection in adults and adolescents 12 years of age and older.",2021-01-21,Viiv Healthcare,HIV Infection,Antivirals,Infectious Diseases,,,
Verquvo,vericiguat,Tablets,"Verquvo (vericiguat) is a soluble guanylate cyclase (sGC) stimulator indicated to reduce the risk of cardiovascular death and heart failure (HF)
hospitalization following a hospitalization for heart failure or need for
outpatient IV diuretics, in adults with symptomatic chronic HF and
ejection fraction less than 45%.",2021-01-19,Merck,Heart Failure with Reduced Ejection Fraction (HFrEF),Cardiovascular,Cardiovascular Diseases,,,
Astepro Allergy,azelastine,Nasal Spray,Astepro Allergy (azelastine) is a nasal antihistamine for the treatment of seasonal allergic rhinitis.,2021-06-17,Bayer Healthcare,Allergic Rhinitis,Respiratory,Respiratory Diseases,,,
Thyquidity,levothyroxine sodium,Oral Solution,Thyquidity (levothyroxine sodium) is a liquid dosage form of levothyroxine for the treatment of hypothyroidism.,2020-11-30,Vertice,Hormonal,Other,,,,
Gemtesa,vibegron,Tablets,"Gemtesa (vibegron) is a once-daily beta-3 adrenergic agonist indicated for the treatment of overactive bladder (OAB) with symptoms of urge urinary incontinence, urgency, and urinary frequency in adults.",2020-12-23,Urovant Sciences,Overactive Bladder,Genitourinary,Renal Disorders,,,
Ebanga,ansuvimab-zykl,Injection,Ebanga (ansuvimab-zykl) is a monoclonal antibody for the treatment ofZaire ebolavirus(Ebolavirus) infection in adults and children.,2020-12-21,Ridgeback Biotherapeutics,Zaire Ebolavirus Infection,Immunological,Infectious Diseases,,,
Orgovyx,relugolix,Tablets,"Orgovyx (relugolix) is an oral gonadotropin-releasing hormone (GnRH) receptor
antagonist indicated for the treatment of adult patients with advanced
prostate cancer.",2020-12-18,Myovant Sciences,Prostate Cancer,Antineoplastics,Cancers,,,
Riabni,rituximab-arrx,Injection,"Riabni (rituximab-arrx) is a CD20-directed cytolytic antibody biosimilar to Rituxan indicated for the treatment of adult patients with non-Hodgkin’s Lymphoma (NHL), chronic lymphocytic leukemia (CLL), rheumatoid arthritis, and granulomatosis with polyangiitis (GPA) (Wegener’s Granulomatosis) and microscopic polyangiitis (MPA).",2020-12-17,Amgen,"Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia, Granulomatosis with Polyangiitis, Microscopic Polyangiitis, Rheumatoid Arthritis",Antineoplastics,Hematological Disorders,,,
Margenza,margetuximab-cmkb,Injection,"Margenza (margetuximab-cmkb) is a HER2/neu receptor antagonist indicated, in combination with chemotherapy, for the treatment of adult patients with metastatic HER2- positive breast cancer.",2020-12-16,Macrogenics,Breast Cancer,Antineoplastics,Cancers,,,
Klisyri,tirbanibulin,Ointment,Klisyri (tirbanibulin) is a first-in-class dual Src Kinase and tubulin polymerization inhibitor for the topical treatment of actinic keratosis on the face or scalp.,2020-12-14,Athenex,Actinic Keratosis,Dermatological,Dermatological Conditions,,,
Orladeyo,berotralstat,Capsules,"Orladeyo (berotralstat) is a plasma kallikrein inhibitor indicated for prophylaxis to prevent attacks of hereditary angioedema (HAE) in adults and
pediatric patients 12 years and older.",2020-12-03,Biocryst Pharmaceuticals,Hereditary Angioedema,Immunological,Genetic Disorders,,,
Ga 68 PSMA-11 ,,Injection,Ga 68 PSMA-11 Injection is a radioactive diagnostic agent indicated for positron emission tomography (PET) of prostate-specific membrane antigen (PSMA) positive lesions in men with prostate cancer.,2020-12-01,University Of California San Francisco,Diagnosis and Investigation,Antineoplastics,Cancers,,,
Imcivree,setmelanotide,Injection,"Imcivree (setmelanotide) is a melanocortin 4 (MC4) receptor agonist for chronic weight management of obesity caused by proopiomelanocortin (POMC), proprotein convertase subtilisin/kexin type 1 (PCSK1), or leptin receptor (LEPR) deficiency; or Bardet-Biedl syndrome.",2020-11-25,Rhythm Pharmaceuticals,Weight Loss (Obesity/Overweight),Hormonal,Nutritional Disorders,,,
Danyelza,naxitamab-gqgk,Injection,"Danyelza (naxitamab-gqgk) is a GD2-binding monoclonal antibody indicated, in
combination with granulocyte-macrophage colony-stimulating factor (GMCSF), for the treatment of patients with relapsed or refractory high-risk neuroblastoma.",2020-11-25,Y-Mabs Therapeutics,Neuroblastoma,Antineoplastics,Cancers,,,
Oxlumo,lumasiran,Injection,Oxlumo (lumasiran) is a HAO1-directed small interfering ribonucleic acid (siRNA) indicated for the treatment of primary hyperoxaluria type 1 (PH1) to lower urinary and plasma oxalate levels in pediatric and adult patients.,2020-11-23,Alnylam Pharmaceuticals,Primary Hyperoxaluria,Antineoplastics,Renal Disorders,,,
Zokinvy,lonafarnib,Capsules,Zokinvy (lonafarnib) is an oral farnesyltransferase inhibitor (FTI) for the treatment of Hutchinson-Gilford Progeria Syndrome (HGPS or Progeria) and processing-deficient Progeroid Laminopathies (PL).,2020-11-20,Eiger Biopharmaceuticals,Progeria and Progeroid Laminopathies,Antineoplastics,Genetic Disorders,,,
Sutab,"sodium sulfate, magnesium sulfate, and potassium chloride",Tablets,"Sutab (sodium sulfate, magnesium sulfate, and potassium chloride) is an osmotic laxative in a tablet formulation indicated for cleansing the colon in preparation for colonoscopy in adults.",2020-11-10,Sebela Pharmaceuticals,Bowel Preparation,Gastrointestinal,Gastrointestinal Diseases,,,
Sesquient,fosphenytoin sodium,Injection,"Sesquient (fosphenytoin sodium for injection) is a Captisol-enabled™, room-temperature stable formulation of fosphenytoin sodium indicated for the treatment of status epilepticus in adults and children.",2020-11-05,Sedor Pharmaceuticals,Status Epilepticus,Neurological,Neurological Disorders,,,
Bronchitol,mannitol,Inhalation Powder,Bronchitol (mannitol) is an inhaled dry powder formulation of the sugar alcohol mannitol indicated as add-on maintenance therapy to improve pulmonary function in adult patients 18 years of age and older with cystic fibrosis.,2020-10-30,Chiesi,Cystic Fibrosis,Respiratory,Respiratory Diseases,,,
Eysuvis,loteprednol etabonate,Ophthalmic Suspension,Eysuvis (loteprednol etabonate) is an ophthalmic corticosteroid formulation for the temporary relief of signs and symptoms of dry eye disease.,2020-10-26,Kala Pharmaceuticals,Dry Eye Disease,Ophthalmological,Ophthalmological Disorders,,,
Veklury,remdesivir,Injection,Veklury (remdesivir) is a SARS-CoV-2 nucleotide analog RNA polymerase inhibitor indicated for the treatment of COVID-19.,2020-10-22,Gilead Sciences,COVID-19,Antivirals,Infectious Diseases,,,
Inmazeb,"atoltivimab, maftivimab, and odesivimab-ebgn",Injection,"Inmazeb is (atoltivimab, maftivimab, and odesivimab) is a monoclonal antibody combination indicated for the treatment ofZaire ebolavirusinfection in adults and children, including newborns of mothers who have tested positive for the virus.",2020-10-14,Regeneron Pharmaceuticals,Zaire Ebolavirus infection,Immunological,Infectious Diseases,,,
Alkindi Sprinkle,hydrocortisone,Oral Granules,"Alkindi Sprinkle (hydrocortisone granules in capsules for opening) is an immediate-release pediatric formulation of the approved glucocorticoid hydrocortisone for the treatment of adrenocortical insufficiency in infants, children and adolescents.",2020-09-29,Eton Pharmaceuticals,Adrenocortical Insufficiency,Hormonal,Endocrine Disorders,,,
Qdolo,tramadol hydrochloride,Oral Solution,Qdolo (tramadol hydrochloride) is an opioid agonist indicated in adults for  the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.,2020-09-01,Athena Bioscience,Pain,Analgesics,Pain,,,
Detectnet,copper Cu 64 dotatate,Injection,Detectnet (copper Cu 64 dotatate) is a radioactive diagnostic agent indicated for use with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult patients.,2020-09-03,Radiomedix,Positron Emission Tomography Imaging,Antineoplastics,Cancers,,,
Gavreto,pralsetinib,Capsules,"Gavreto (pralsetinib) is an oral selective RET kinase inhibitor used for the treatment of rearranged during transfection (RET) fusion- positive non-small cell lung cancer (NSCLC), and RET-mutant medullary thyroid cancer (MTC).",2020-09-04,Genentech,"Non-Small Cell Lung Cancer, Thyroid Cancer",Antineoplastics,Cancers,,,
Onureg,azacitidine,Tablets,Onureg (azacitidine) is a nucleoside metabolic inhibitor indicated for the continued treatment of adult patients with acute myeloid leukemia.,2020-09-01,Bristol Myers Squibb,Acute Myeloid Leukemia,Antineoplastics,Hematological Disorders,,,
Xaracoll,bupivacaine hydrochloride,Implant,Xaracoll (bupivacaine hydrochloride) is a fully bioresorbable collagen implant containing the local anesthetic bupivacaine indicated for acute postsurgical pain relief for up to 24 hours in adults following open inguinal hernia repair.,2020-08-28,Innocoll Holdings,Postsurgical Pain Relief Following Open Inguinal Hernia,Anesthetics,Musculoskeletal Disorders,,,
Sogroya,somapacitan-beco,Injection,Sogroya (somapacitan-beco) is a human growth hormone analog used for the treatment of people with growth hormone deficiency (GHD).,2020-08-28,Novo Nordisk,"Adult Human Growth Hormone Deficiency, Pediatric Growth Hormone Deficiency",Hormonal,Endocrine Disorders,,,
Winlevi,clascoterone,Cream,"Winlevi (clascoterone) cream is a first-in-class topical androgen receptor inhibitor indicated for the topical treatment of acne vulgaris in patients 12
years of age and older.",2020-08-26,Cassiopea Spa,Acne,Dermatological,Dermatological Conditions,,,
Cystadrops,cysteamine hydrochloride,Ophthalmic Solution,Cystadrops (cysteamine hydrochloride) is a cystine-depleting agent indicated for the treatment of corneal cystine crystal deposits in adults and children with cystinosis.,2020-08-19,Recordati Rare Diseases,Corneal Cystine Crystal Accumulation,Ophthalmological,Ophthalmological Disorders,,,
Kesimpta,ofatumumab,Injection,"Kesimpta (ofatumumab) is a CD20-directed cytolytic antibody indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults.",2020-08-20,Novartis,Multiple Sclerosis,Immunological,Neurological Disorders,,,
Enspryng,satralizumab-mwge,Injection,Enspryng (satralizumab-mwge) is an interleukin-6 (IL-6) receptor antagonist indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,2020-08-14,Genentech,Neuromyelitis Optica Spectrum Disorder,Immunological,Neurological Disorders,,,
Viltepso,viltolarsen,Injection,Viltepso (viltolarsen) is an antisense oliogonucleotide indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping.,2020-08-12,Ns,Duchenne Muscular Dystrophy,Antineoplastics,Musculoskeletal Disorders,,,
Olinvyk,oliceridine,Injection,Olinvyk (oliceridine) is an opioid agonist for the management of moderate to severe acute pain in adults.,2020-08-07,Trevena,Pain,Analgesics,Pain,,,
Evrysdi,risdiplam,Oral Solution,Evrysdi (risdiplam) is a survival of motor neuron 2 (SMN2) splicing modifier indicated for the treatment of spinal muscular atrophy (SMA) in pediatric and adult patients.,2020-08-07,Genentech,Spinal Muscular Atrophy,Neurological,Neurological Disorders,,,
Lampit,nifurtimox,Tablets,Lampit (nifurtimox) is a nitrofuran antiprotozoal used for the treatment of Chagas disease (American Trypanosomiasis) in pediatric patients.,2020-08-06,Bayer,Chagas Disease,Antiparasitics,Infectious Diseases,,,
Blenrep,belantamab mafodotin-blmf,Injection,Blenrep (belantamab mafodotin-blmf) is a B-cell maturation antigen (BCMA)-directed antibody and microtubule inhibitor conjugate indicated for the treatment of adult patients with relapsed or refractory multiple myeloma.,2020-08-05,Glaxosmithkline,Multiple Myeloma,Antineoplastics,Hematological Disorders,,,
Monjuvi,tafasitamab-cxix,Injection,Monjuvi (tafasitamab-cxix) is a CD19-directed cytolytic antibody indicated in combination with lenalidomide for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL).,2020-07-31,Morphosys,Diffuse Large B-Cell Lymphoma,Antineoplastics,Hematological Disorders,,,
Xeglyze,abametapir,Topical Lotion,Xeglyze (abametapir) is a pediculicide indicated for the topical treatment of head lice infestation in patients 6 months of age and older.,2020-07-24,Dr Reddy’S,Head Lice,Antiparasitics,Dermatological Conditions,,,
Tecartus,brexucabtagene autoleucel,Suspension for Intravenous Infusion,Tecartus (brexucabtagene autoleucel) is a CD19-directed genetically modified autologous T cell immunotherapy for the treatment of mantle cell lymphoma (MCL) and B-cell precursor acute lymphoblastic leukemia (ALL).,2020-07-24,Kite A Gilead Company,Mantle Cell Lymphoma,Immunological,Hematological Disorders,,,
Breztri Aerosphere,budesonide/glycopyrrolate/formoterol fumarate,Metered Dose Inhalation,"Breztri Aerosphere (budesonide/glycopyrrolate/formoterol fumarate) is a fixed dose triple-combination of the inhaled corticosteroid budesonide, the  long-acting muscarinic antagonist (LAMA) glycopyrrolate, and the long-acting beta2-agonist (LABA) formoterol fumarate, delivered in a pressurized metered-dose inhaler for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD).",2020-07-23,Astrazeneca,COPD,Respiratory,Respiratory Diseases,,,
Xywav,"calcium, magnesium, potassium, and sodium oxybates",Oral Solution,"Xywav (calcium, magnesium, potassium, and sodium oxybates) is a low-sodium oxybate product for the treatment of cataplexy and excessive daytime sleepiness (EDS) in patients 7 years of age and older with narcolepsy, and for the treatment of idiopathic hypersomnia (IH) in adults.",2020-07-21,Jazz Pharmaceuticals,Narcolepsy, Idiopathic Hypersomnia,Neurological,Neurological Disorders,,
Wynzora,calcipotriene and betamethasone dipropionate,Cream,"Wynzora (calcipotriene and betamethasone dipropionate) is a PAD™ Cream formulation of the  vitamin D analog calcipotriene, and the corticosteroid betamethasone dipropionate, indicated for the topical treatment of plaque psoriasis in patients 18 years of age and older.",2020-07-20,Mc2 Therapeutics,Plaque Psoriasis,Dermatological,Dermatological Conditions,,,
Upneeq,oxymetazoline hydrochloride,Ophthalmic Solution,"Upneeq (oxymetazoline hydrochloride ophthalmic solution, 0.1%) is a once-daily ophthalmic formulation of the direct-acting alpha-adrenergic receptor agonist oxymetazoline indicated for the treatment of acquired blepharoptosis, or ptosis, a condition characterized by the abnormal drooping of the upper eyelid.",2020-07-08,Osmotica Pharmaceuticals,Blepharoptosis,Ophthalmological,Ophthalmological Disorders,,,
Hulio,adalimumab-fkjp,Injection,"Hulio (adalimumab-fkjp) is a tumor necrosis factor (TNF) blocker biosimilar to Humira indicated for the treatment of rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, plaque psoriasis, hidradenitis suppurativa, and uveitis.",2020-07-06,Mylan Pharmaceuticals,"Rheumatoid Arthritis, Juvenile Idiopathic Arthritis, Psoriatic Arthritis, Ankylosing Spondylitis, Crohn's Disease, Ulcerative Colitis, Plaque Psoriasis, Hidradenitis Suppurativa, Uveitis",Immunological,Autoimmune Diseases,,,
Inqovi,decitabine and cedazuridine,Tablets,"Inqovi (decitabine and cedazuridine) is a nucleoside metabolic inhibitor and
cytidine deaminase inhibitor combination indicated for the treatment of adults with intermediate and high-risk myelodysplastic syndromes (MDS) including chronic myelomonocytic leukemia (CMML).",2020-07-07,Astex Pharmaceuticals Taiho Oncology And Otsuka Pharmaceutical,Myelodysplastic Syndrome,Antineoplastics,Hematological Disorders,,,
Qwo,collagenase clostridium histolyticum-aaes,Injection,Qwo (collagenase clostridium histolyticum-aaes) is a combination of bacterial collagenases indicated for the treatment of moderate to severe cellulite in the buttocks of adult women.,2020-07-06,Endo International,Cellulite,Dermatological,Dermatological Conditions,,,
Rukobia,fostemsavir,Extended-Release Tablets,"Rukobia (fostemsavir) is a first-in-class, human immunodeficiency virus type 1 (HIV-1) gp120-directed attachment inhibitor indicated for use in combination with other antiretroviral(s) for the treatment of HIV-1 infection in heavily treatment-experienced adults with multidrug-resistant HIV-1 infection.",2020-07-02,Viiv Healthcare,HIV Infection,Antivirals,Infectious Diseases,,,
Byfavo,remimazolam,Injection,"Byfavo (remimazolam) is an ultra-short-acting, intravenous benzodiazepine sedative/anesthetic for the induction and maintenance of procedural sedation in adults.",2020-07-02,Cosmo Pharmaceuticals Nv,Sedation,Anesthetics,Neurological Disorders,,,
Dojolvi,triheptanoin,Oral Liquid,Dojolvi (triheptanoin) is a medium-chain triglyceride indicated as a source of calories and fatty acids for the treatment of pediatric and adult patients with molecularly confirmed long-chain fatty acid oxidation disorders (LC-FAOD).,2020-06-30,Ultragenyx Pharmaceutical,Long-Chain Fatty Acid Oxidation Disorders,Nutritional Supplements,Genetic Disorders,,,
Phesgo,"pertuzumab, trastuzumab, and hyaluronidase-zzxf",Injection,"Phesgo (pertuzumab, trastuzumab, and hyaluronidase-zzxf) is a combination of two HER2/neu receptor antagonists and the endoglycosidase hyaluronidase indicated for the treatment of early and metastatic HER2-positive breast cancer, as detected by an FDA-approved companion diagnostic test.",2020-06-29,Genentech,Breast Cancer,Antineoplastics,Cancers,,,
Mycapssa,octreotide,Delayed-Release Capsules,Mycapssa (octreotide) is an oral formulation of the approved somatostatin analog octreotide for the treatment of acromegaly.,2020-06-26,Chiasma,Acromegaly,Hormonal,Endocrine Disorders,,,
Fintepla,fenfluramine,Oral Solution,Fintepla (fenfluramine) is an amphetamine derivative indicated for the treatment of seizures associated with Dravet syndrome and Lennox-Gastaut syndrome in patients 2 years of age and older.,2020-06-25,Zogenix,"Dravet Syndrome, Lennox-Gastaut Syndrome",Neurological,Neurological Disorders,,,
Gimoti,metoclopramide,Nasal Spray,Gimoti (metoclopramide) is an intranasal formulation of the approved drug metoclopramide for the relief of symptoms of acute and recurrent diabetic gastroparesis in adults.,2020-06-19,Evoke,Gastroparesis,Gastrointestinal,Gastrointestinal Diseases,,,
Zepzelca,lurbinectedin,Injection,Zepzelca (lurbinectedin) is a selective oncogenic transcription inhibitor indicated for the treatment of adult patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy.,2020-06-15,Pharmamar And Jazz Pharmaceuticals,Small Cell Lung Cancer,Antineoplastics,Cancers,,,
Lyumjev,insulin lispro-aabc,Injection,Lyumjev (insulin lispro-aabc) is a rapid-acting human insulin analog indicated to improve glycemic control in adult and pediatric patients with diabetes mellitus.,2020-06-15,Eli Lilly,"Diabetes, Type 1, Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
